ID,Revenu (€),Montant du Prêt (€),Durée de l'Emploi (années),Historique de Crédit,Prêt Approuvé
1,3461,3368,1,Bon,Oui
2,3947,14402,4,Mauvais,Non
3,2246,5397,8,Bon,Non
4,2976,14351,2,Mauvais,Non
5,4359,10483,4,Mauvais,Non
6,4741,14754,5,Mauvais,Non
7,4424,5157,5,Bon,Oui
8,4081,18654,9,Bon,Non
9,3158,11061,10,Bon,Non
10,2294,5177,1,Mauvais,Non
11,4945,8687,1,Mauvais,Non
12,1896,4561,9,Mauvais,Non
13,3938,2121,3,Bon,Oui
14,2904,14543,6,Bon,Non
15,3558,13751,8,Mauvais,Non
16,2990,10334,7,Bon,Non
17,1741,19758,4,Mauvais,Non
18,3005,10367,7,Mauvais,Non
19,2181,9481,2,Mauvais,Non
20,1683,3100,9,Bon,Oui
21,1968,6169,7,Mauvais,Non
22,1912,17292,8,Mauvais,Non
23,4331,9611,5,Mauvais,Non
24,3628,18598,3,Bon,Non
25,2819,6110,8,Bon,Non
26,1555,12111,2,Bon,Non
27,2842,11071,4,Bon,Non
28,2573,18303,9,Bon,Non
29,4170,5468,7,Mauvais,Non
30,2609,8683,2,Mauvais,Non
31,4464,9739,2,Bon,Non
32,2361,11785,1,Mauvais,Non
33,1881,19301,5,Mauvais,Non
34,3358,17757,9,Mauvais,Non
35,4556,7446,3,Bon,Oui
36,4413,10275,4,Bon,Non
37,4021,13497,8,Mauvais,Non
38,2555,10150,2,Bon,Non
39,4829,14917,5,Bon,Non
40,3806,19047,9,Mauvais,Non
41,2918,16318,3,Mauvais,Non
42,2442,9546,1,Bon,Non
43,3988,18279,1,Bon,Non
44,3481,16950,3,Bon,Non
45,2553,4055,10,Bon,Oui
46,2345,5196,7,Bon,Non
47,4074,6753,8,Mauvais,Non
48,4749,8413,1,Bon,Oui
49,3366,17023,2,Mauvais,Non
50,3013,18649,8,Mauvais,Non
51,2364,9017,3,Mauvais,Non
52,1846,9400,4,Mauvais,Non
53,4413,19674,9,Mauvais,Non
54,4771,2047,6,Bon,Oui
55,3512,4166,10,Mauvais,Non
56,3928,16699,1,Mauvais,Non
57,4022,6437,4,Mauvais,Non
58,1945,11525,8,Mauvais,Non
59,4376,7218,6,Bon,Oui
60,2460,7168,2,Bon,Non
61,3855,15920,7,Mauvais,Non
62,1884,8158,6,Mauvais,Non
63,2919,3848,1,Bon,Oui
64,4465,13051,10,Bon,Non
65,3718,16158,6,Bon,Non
66,1602,6128,7,Mauvais,Non
67,3774,15175,1,Bon,Non
68,3363,17746,3,Mauvais,Non
69,3136,5406,10,Mauvais,Non
70,3952,3575,2,Mauvais,Non
71,3087,8457,3,Bon,Non
72,4131,17725,4,Bon,Non
73,2956,4664,9,Bon,Oui
74,4999,15623,2,Mauvais,Non
75,1961,17469,7,Mauvais,Non
76,3818,5896,4,Mauvais,Non
77,3902,9013,2,Mauvais,Non
78,3128,10882,7,Bon,Non
79,4367,14134,4,Bon,Non
80,3947,3182,8,Bon,Oui
81,2750,18002,1,Bon,Non
82,4885,15823,3,Mauvais,Non
83,4403,18704,3,Mauvais,Non
84,3992,12297,7,Bon,Non
85,1687,17670,5,Bon,Non
86,3660,16748,5,Bon,Non
87,1986,15976,8,Mauvais,Non
88,4873,7456,6,Bon,Oui
89,1689,12782,10,Mauvais,Non
90,3838,12605,8,Mauvais,Non
91,4089,19182,8,Bon,Non
92,1589,3763,6,Bon,Non
93,4267,9038,1,Mauvais,Non
94,4468,3392,2,Bon,Oui
95,3218,15169,8,Mauvais,Non
96,1718,15115,4,Mauvais,Non
97,4933,6149,7,Bon,Oui
98,4389,13821,5,Mauvais,Non
99,4615,7195,6,Bon,Oui
100,3231,14062,10,Bon,Non
101,1522,12874,10,Mauvais,Non
102,3735,7635,1,Bon,Non
103,1586,9343,7,Mauvais,Non
104,3815,8190,3,Mauvais,Non
105,4302,17959,3,Mauvais,Non
106,3029,14655,2,Mauvais,Non
